"","hpi_category","status","experiment","culturepoint","total","donor","hpi","powerful","plaus","ultraplaus","low","medpower","medlogpower","medfreq","medofplaus","medofultraplaus","powerbeatin"
"1","early","distant","cilia",4,655360,3,1,0.706484985351562,0.983805847167969,0.588871765136719,0.386177062988281,0.0003445025504333,-3.46280755856645,7.75,7.75,9.75,0.702081298828125
"2","early","distant","cilia",5,655360,4,1,0.812930297851562,0.3767822265625,0.351228332519531,0.0249282836914063,0.00097174954134965,-3.01244565567765,15.25,13.5,13.75,0.311541748046875
"3","early","distant","cilia",8,655360,2,1,0.829112243652344,0.966513061523438,0.529832458496094,0.425814819335938,0.00072602060390635,-3.13905105418164,7.75,7.25,10.5,0.803352355957031
"4","early","distant","longcilia2",2,1310720,3,2,0.910413360595703,0.9730224609375,0.734280395507813,0.228311157226563,0.0010536925983615,-2.97728607062959,7.33333333333333,7.33333333333333,8,0.903472137451172
"5","early","distant","longcilia2",3,1310720,5,2,0.617513275146484,0.786964416503906,0.619998168945312,0.155535125732422,0.0003924537741113,-3.40621149007966,7,6,6.66666666666667,0.610181427001953
"6","early","distant","longcilia2",6,1310720,5,2,0.718522644042969,0.778230285644531,0.396421051025391,0.361922454833984,0.0010660236002877,-2.97223318052419,6.33333333333333,2.33333333333333,9.33333333333333,0.617459869384766
"7","early","distant","longcilia2",7,1310720,7,2,0.946961975097656,0.934102630615234,0.813976287841797,0.117783355712891,0.0018037720001302,-2.74381835889117,11,10.6666666666667,11.3333333333333,0.897738647460937
"8","early","distant","longcilia2",10,1310720,7,2,0.753645324707031,0.914281463623047,0.492706298828125,0.401197814941406,0.0006353572243824,-3.19698202753574,4,3,7,0.749842071533203
"9","early","distant","longcilias",3,655360,4,2,0.437823486328125,0.966058349609375,0.355274963378906,0.601788330078125,0.00014904576528345,-3.82668035871378,0.666666666666667,0.666666666666667,10,0.430908203125
"10","early","distant","longcilias",4,655360,4,2,0.281808471679687,0.94915771484375,0.805305480957031,0.1416015625,8.92206298885867e-05,-4.04953471500864,9.33333333333333,9.33333333333333,9.66666666666667,0.274331665039062
"11","early","distant","longcilias",5,655360,7,2,0.467045593261719,0.9560791015625,0.5920166015625,0.357673645019531,0.00017196092812805,-3.76457021952278,10.6666666666667,10.3333333333333,12,0.452940368652344
"12","early","distant","longcilias",6,655360,7,2,0.244842529296875,0.936598205566406,0.780860900878906,0.151673889160156,7.09944579284638e-05,-4.14877555251191,11.6666666666667,11.3333333333333,11.6666666666667,0.23472900390625
