distance,N,S,dsRNA
0,2545,1824,1231
0.1076,2597.006,1852.316,1132.467
0.2152,2520.39,1953.63,1217.482
0.3227,2509.112,1745.848,1282.856
0.4303,2639.214,1727.929,1318.378
0.5379,2553.807,1927.753,1311.102
0.6455,2735.107,1856.829,1162.804
0.7531,2793.625,1790.75,1073.406
0.8607,2771.694,1898.061,1110.612
0.9682,2361.52,2190.924,1298.593
1.0758,2354.362,2309.707,1463.594
1.1834,2542.698,2327.988,1461.85
1.291,2493.163,2453.051,1432.561
1.3986,2023.772,2534.164,1389.039
1.5061,1475.375,2512.75,1192.75
1.6137,1320.729,2337.565,1075.14
1.7213,1702.531,2137.572,1359.02
1.8289,2612.379,2201.041,2440.969
1.9365,4237.268,2377.906,4067.865
2.0441,6305.271,2418.096,5858.021
2.1516,7832.653,2276.255,7142.01
2.2592,8109.688,2586.469,7611.031
2.3668,7614.804,4042.771,7001.365
2.4744,6757.034,6935.825,6368.221
2.582,5947.041,11099.021,6303.347
2.6896,5376.429,14944.034,5809.615
2.7971,5051.668,17091.48,5381.783
2.9047,4962.833,17590.754,6407.566
3.0123,5165.5,16509,8422
3.1199,5729.863,13814.057,9325.447
3.2275,6166.219,10815.487,8914.416
3.335,6067.756,8337.471,8958.232
3.4426,5783.102,6274.633,10730.449
3.5502,5568.661,5085.713,13534.155
3.6578,5274.26,5398,13947.661
3.7654,5049.812,6470.031,11518.875
3.873,5314.857,6906.418,10139.194
3.9805,5990.263,6708.651,9874.33
4.0881,6796.127,6727.735,8894.003
4.1957,7588.163,7351.454,7480.134
4.3033,8193.898,8120.857,5730.388
4.4109,8727.657,8501.734,3980.165
4.5184,9158,8299.125,3059.625
4.626,9603.551,8125.863,2857.764
4.7336,9908.521,8333.714,2740.112
4.8412,9292.011,8242.113,2327.66
4.9488,8091.306,8283.908,2019.577
5.0564,6964.717,8499.4,2755.504
5.1639,6385.245,8646.796,6421.531
5.2715,6545.406,9594.875,14196.969
5.3791,6857.564,11271.304,20195.764
5.4867,6660.985,12770.852,15635.953
5.5943,6553.745,12623.266,6811.204
5.7018,6936.465,10812.499,2170.673
5.8094,7115.592,9407.842,1458.605
5.917,6990.291,9288.296,1445.217
6.0246,7497,10076,1565
6.1322,8445.878,11213.493,1954.464
6.2398,8956.896,12722.643,2118.385
6.3473,9521.947,14979.938,2115.906
6.4549,10413.438,19173.01,2164.918
6.5625,11516.285,26409.779,2089.992
6.6701,13272.296,36600.789,1972.278
6.7777,15145.406,46674.5,1921.031
6.8852,15274.286,51543.43,1927.082
6.9928,13180.433,48888.676,1951.117
7.1004,10969.941,40572.922,1866.985
7.208,9938.124,31023.494,1778.895
7.3156,9590.347,24422.326,1751.643
7.4232,9106.249,20651.85,1684.712
7.5307,8544.75,17979.625,1541.875
7.6383,8394.972,16193.098,1457.649
7.7459,8532.51,14816.449,1469.02
7.8535,8457.792,13346.385,1508.401
7.9611,7797.207,12250.972,1512.329
8.0687,7061.46,11440.736,1379.547
8.1762,6367.061,10820.225,1163.245
8.2838,5639.938,10467.438,1051.156
8.3914,4989.293,9959.023,1048.684
8.499,4671.678,9213.014,1106.77
8.6066,4825.735,8799.347,1120.592
8.7141,5075.806,8736.687,1060.767
8.8217,5131.661,8660.025,1021.077
8.9293,5044.886,8224.498,1072.569
9.0369,4901,7416.5,1198
9.1445,4923.889,6744.833,1313.833
9.2521,5237.696,6219.25,1301.536
9.3596,5631.322,5735.411,1178.994
9.4672,5621.347,5601.551,1095.735
9.5748,5009.342,5878.265,1061.082
9.6824,4358.196,5899.888,1037.459
9.79,4047.125,4791.281,1055.469
9.8975,3934.102,3330.245,1037.143
10.0051,3676.501,2458.285,962.475
10.1127,3369.745,2362.375,919.375
10.2203,3110.81,2758.186,959.832
10.3279,2968.755,2994.082,965.224
10.4355,2909.973,2632.108,973.879
10.543,2807.625,2134.875,981.75
10.6506,2884.871,1809.646,937.906
10.7582,2877.123,1801.367,976.724
10.8658,2641.437,1875.27,1130.409
10.9734,2513.947,1971.367,1192.763
11.0809,2400.175,1948.9,1133.051
11.1885,2462.286,1957.061,1047.959
11.2961,2587.562,2131.031,966.562
11.4037,2493.219,2126.615,987.421
11.5113,2168.359,1871.119,1010.945
11.6189,2069.031,1696.633,1150.878
11.7264,2165.684,1910.029,1359.032
11.834,2067.875,2191,1379.541
11.9416,2051.751,2266.732,1172.133
12.0492,1907,2212,873
