filename,csv,expt.name,date,processing,usable,sample.no,donor,virus,dyes,condition,other notes,jammed,crypts,cyst,infxn.in.crypt,mucus.simple,mucus.mvmt.type,mucus.stop.frame,video.end.frame,mucus.stop.frame.end,mucus.dir,ruptures.yn,focal apoptosis,focus.type,focus.num,focus.simple,20hpi.spots,48hpi.focicount,peak.spots,peak.spots.frame,peak.pix.1100,peak.fxn.1100,peak.fxn.1100.frame,,,n.mm.2a,n.mm.2b,n.mm.2mean,fromold,piv.total,piv.fxn.3,piv.fxn.6,piv.fxn.12,piv.fxn.24,piv.fxn.48,piv.mean.speed,piv.median.speed,maxgfp0,maxgfp850,maxgfp900,maxgfp1000,maxgfp1100,frame.maxgfp0,frame.maxgfp850,frame.maxgfp900,frame.maxgfp1000,frame.maxgfp1100,t0spy0,t0spy350,t0spy400,t0spy500,t20spy0,t20spy350,t20spy400,t20spy500
continual2_pt01_aligned_cropped.tif,continual2_pt01_spots.csv,continual2,240422,assess,1,1,7,mock,spy + nuc,rinsed,,edge,edgefurrow,clean,,rotary,rotary.2,100,100,yes,fast.complex,n,y,mock,0,mock,0,,,,,,,,,noncomparable,noncomparable,noncomparable,0,3933,1403,240,43,5,0,2.87803574,2.324139835,14139629,6899836,1859186,317743,101641,0,9,9,9,9,14139629,12733640,12364884,11551019,14139629,13137828,12706681,11753437
continual2_pt02_aligned_cropped.tif,continual2_pt02_spots.csv,continual2,240422,assess,1,2,7,egfp,spy + nuc,rinsed,,edge,edgefurrow,clean,,rotary,rotary,100,100,yes,cw,n,y,diffuse-comet,6,diffuse,8,,,,,,,,,noncomparable,noncomparable,noncomparable,0,4174,1245,613,279,53,1,3.394750093,1.421263378,15039805,6572185,2288737,1027426,573150,0,9,9,9,9,15039805,12827166,12446373,11251289,15039805,13150108,12767738,11534165
continual2_pt03_aligned_cropped.tif,continual2_pt03_spots.csv,continual2,240422,assess,0,3,7,egfp,spy + nuc,rinsed,extra pale spytub. This is the yeastie boy.,edge,edgefurrow,clean,,,,,100,,,,,,,,,,,,,,,,,noncomparable,noncomparable,noncomparable,0,4179,710,116,4,1,0,1.891057263,1.425955891,15039805,3861447,1696013,968652,557893,0,9,9,9,31,15039805,983961,212439,18365,15039805,7975,953,4
continual2_pt04_aligned_cropped.tif,continual2_pt04_spots.csv,continual2,240422,assess,1,4,7,egfp,spy + nuc,rinsed,maybe also yeast,edge,edgefurrow,clean,,rotary,rotary.2,40,100,no,fast.complex,n,y,diffuse,,diffuse,52,,,,,,,,,noncomparable,noncomparable,noncomparable,0,4126,668,166,28,7,0,1.810807848,1.11656389,14875321,7498675,2489448,868422,441970,0,9,9,9,9,14875321,11741705,9551351,1654355,14875321,11415714,8619849,898558
continual2_pt05_aligned_cropped.tif,continual2_pt05_spots.csv,continual2,240422,assess,1,5,5,egfp,spy + nuc,rinsed,,edge,edgefurrow,clean,,rotary,rotary,100,100,yes,cw,n,n,diffuse-comet,6,diffuse,,,,,,,,,,noncomparable,noncomparable,noncomparable,0,4252,920,394,178,53,0,2.894048464,1.657338672,15315997,6096037,2807541,1165185,608236,0,9,9,9,9,15315997,12237735,11805837,8814365,15315997,12401841,11926211,9865971
continual2_pt06_aligned_cropped.tif,continual2_pt06_spots.csv,continual2,240422,assess,1,6,5,egfp,spy + nuc,rinsed,,edge,edgefurrow,clean,,rotary,rotary,100,100,yes,cw,n,n,diffuse,,diffuse,,,,,,,,,,noncomparable,noncomparable,noncomparable,0,4012,573,286,92,18,2,2.097776077,1.114877801,14440961,4677170,1375722,469597,159386,0,9,9,9,9,14440961,12295703,11989405,10614626,14440961,12504386,12119266,10859066
continual2_pt07_aligned_cropped.tif,continual2_pt07_spots.csv,continual2,240422,assess,1,7,5,egfp,spy + nuc,rinsed,,jammed,edgefurrow,clean,,rotary,rotary,100,100,yes,fast,n,y,diffuse,,diffuse,11,,,,,,,,,noncomparable,noncomparable,noncomparable,0,4178,718,451,249,30,0,2.681252889,1.078496545,15039805,5211564,1865093,765882,342628,0,9,9,9,9,15039805,12434292,12059316,10738176,15039805,12602390,12220636,11178059
continual2_pt08_aligned_cropped.tif,continual2_pt08_spots.csv,continual2,240422,assess,1,8,5,mock,spy + nuc,rinsed,,edge,edgefurrow,clean,,rotary,rotary.2,100,100,yes,complex,n,n,mock,0,mock,0,,,,,,,,,noncomparable,noncomparable,noncomparable,0,4072,749,389,175,32,0,3.008799366,1.878017399,14841269,3714687,1396264,551110,177502,0,9,9,9,9,14841269,12571145,12136962,10473943,14841269,12751755,12303978,10827701
continual2_pt09_aligned_cropped.tif,continual2_pt09_spots.csv,continual2,240422,assess,1,9,7,mock,spy + nuc,young,,,,,,,,,100,na,na,na,na,mock,0,mock,0,,,,,,,,,noncomparable,noncomparable,noncomparable,0,4343,71,0,0,0,0,2.590336091,2.56937177,15706805,9231053,6034254,1802254,625577,77,9,9,9,9,15681436,94,0,0,15655427,174,121,7
continual2_pt10_aligned_cropped.tif,continual2_pt10_spots.csv,continual2,240422,assess,1,10,7,egfp,spy + nuc,young,"much faster- spots became visible at  hpi, mostly gone at 110",,,,,,,,100,na,na,na,na,plaque,,plaque,,,,,,,,,,noncomparable,noncomparable,noncomparable,0,3869,937,528,213,14,2,2.57263926,0.524578101,13960073,5761160,2029196,617919,392233,0,9,9,9,9,13960073,0,0,0,13960073,41,10,0
