experiment,fov,culturepoint,whole.coords,focus.initiator,when.identified,frame.appears,time.appears,frame.disappears,time.disappears,gfp.survival.time,last.positive.cbf,interval.before.death,neg.cbf.before.death,n.plauscbfs.b4death,n.cbfs.b4death,median.beat.24,median.beat.48,median.beat.72,median.beat.96,median.beat.120,median.beat.168,median.beat.216,notes,topography,,
ruxcilia,93,2,3434 x 2735,yes,first,10,20.82,35,78.37-122,,73.8,,no,2,3,0.333,6.667,7,NA,NA,NA,NA,"perfect, in fov, comethead; smth happens at frame 35.",plain,,
ruxcilia,97,2,2212 x 942,yes,first,6,12.82,35,78.37-122,,73.8,,no,3,3,5.667,6.33,6.667,NA,NA,NA,NA,"comethead, a little dense, less than 100% on that 72 actually being the same cells",plain,,
ruxcilia,97,2,2207 x 951,no,first,12,25.1,35,78.37-122,,73.8,,no,3,3,4.33,3.33,7,NA,NA,NA,NA,"comethead, a little dense, less than 100% on that 72 actually being the same cells",plain,,
ruxcilia,99,2,2150 x 653,yes,first,11,22.82,35,78.37-122,,73.8,,no,3,3,4.333,5.667,6.333,NA,NA,NA,NA,"plain, comethead, in fov, a little dense at 48 but maybe rackable?",plain,,
ruxcilia,102,2,1592 x 1863,yes,first,7,14.82,34,73.8,58.98,51.34,22.46,no,2,2,5.333,6.667,nogfp,NA,NA,NA,NA,"plain, comethead, in fov, a little dense at 48 but maybe rackable?",plain,,
ruxcilia,140,5,3990 x 2335,yes,first,6,12.82,35,78.37-122,,73.8,,no,3,3,7.667,7,6.667,NA,NA,NA,NA,just barely in FOV at 48. just the edge.,,,
multitest,323,1,,,,,,,,,,,,,,,,,NA,NA,NA,NA,trackable disappearer.,,,
multitest,326,1,2586 x 600,yes,first,10,19.9,33,67.7,47.8,26.8,40.9,no,,,12.67,NA,nogfp,NA,nogfp,NA,NA,trackable disappearer.,,,
multitest,326,1,2601 x 592,no,first,15,31.7,31,63.7,32,26.8,36.9,no,,,10,NA,nogfp,NA,nogfp,NA,NA,,,,
multitest,326,1,2952 x 582,no,second,17,35.7,38,80.3,44.6,alwaysneg,alwaysneg,alwaysneg,,,niy,NA,18.667,NA,nogfp,NA,NA,,,,
multitest,327,1,,,,,,,,,,,,,,,NA,,NA,,NA,NA,trackable disappearer.,,,
multitest,334,1,,,,,,,,,,,,,,,NA,,NA,,NA,NA,"maybe a little dense to track, THOUGH a comethead.",interesting! You can see a dense plaque of deformed cells with normal looking cbf.,,
multitest,335,1,,,,,,,,,,,,,,,NA,,NA,,NA,NA,trackable persister,,,
multitest,342,2,,,,,,,,,,,,,,,NA,,NA,,NA,NA,2 disappearers and a comethead persister!,,,
multitest,343,2,,,,,,,,,,,,,,,NA,,NA,,NA,NA,"maybe trackable but more importantly, a fov where you can se in the ref it's not densely ciliated and in the cbf proj it's not densely beating.",,,
multitest,345,2,,,,,,,,,,,,,,,NA,,NA,,NA,NA,maybe a little dense to track but comethead w/ gross morphological changes and yet she beats…,,,
multitest,346,2,,,,,,,,,,,,,,,NA,,NA,,NA,NA,maybe a little dense to track but comethead,,,
multitest,347,2,,,,,,,,,,,,,,,NA,,NA,,NA,NA,maybe a little dense to track but comethead. Cilia look Bad in the ref & no/little/slow beating,,,
multitest,368,6,,,,,,,,,,,,,,,NA,,NA,,NA,NA,trackable comethead,,,
multitest,370,6,,,,,,,,,,,,,,,NA,,NA,,NA,NA,trackable comethead,,,
multitest,371,6,,,,,,,,,,,,,,,NA,,NA,,NA,NA,trackable comethead,,,
multitest,372,6,,,,,,,,,,,,,,,NA,,NA,,NA,NA,trackable comethead ?,,,
multitest,373,6,,,,,,,,,,,,,,,NA,,NA,,NA,NA,trackable comethead ?,,,
multitest,374,6,,,,,,,,,,,,,,,NA,,NA,,NA,NA,trackable comethead! Super super sharp too,,,
cilia,75,8,,,,,,,,,,,,,,,,,,,,,yes,"same fov, bright cell, but tritc bg",,
cilia,95,2,,,,,,,,,,,,,,,,,,,,,,,,
cilia,96,2,,,,,,,,,,,,,,,,,,,,,,,,
cilia,97,2,,,,,,,,,,,,,,,,,,,,,,,,
cilia,98,2,,,,,,,,,,,,,,,,,,,,,,,,
cilia,99,2,,,,,,,,,,,,,,,,,,,,,,,,
longcilia2,212,2,2483 x 1378,yes,first,5,10.8,45,108,97.2,77.4,30.6,yes,3,3,5.667,7,7.667,0.333,NA,nogfp/0.333,NA,yes,1 cell persists,"plain, dense cilia",good for vis
longcilia2,215,2,4358 x 1934,no,first,11,29.4,32,78.78,49.38,54.1,24.68,no,1,2,0.333,9.667,nogfp,nogfp/0.333,NA,nogfp,NA,yes,1 cell persists,edge,
longcilia2,215,2,4316 x 1944,yes,second,19,46.3,49,116,69.7,101.8,14.2,no,3,3,niy/7.33,8.667,9,9.667,NA,nogfp/30,NA,,,,
longcilia2,215,2,4354 x 1961,no,second,22,54.1,41,96.78,42.68,77.4,19.38,no,2,2,niy/6.33,4,12.667,oof,NA,nogfp/4.667,NA,,,,
longcilia2,226,7,3705 x 3811,yes,first,8,16.8,43,104,87.2,77.4,26.6,yes,3,3,9.33,7.667,7.667,nogfp/26,NA,nogfp/32.667,NA,yes,lot of cells but looks possible to track,edge,
