distance,N,S,dsRNA
0,373.111,351.083,465.139
0.10758,323.57,323.214,424.221
0.21516,289.324,328.505,391.49
0.32275,273.967,304.73,371.407
0.43033,295.77,327.397,383.675
0.53791,477.284,460.456,386.142
0.64549,945.647,700.433,338.044
0.75307,1560.286,977.641,301.709
0.86066,1872.373,1087.353,312.26
0.96824,1561.534,934.915,338.431
1.07582,759.748,635.716,341.059
1.1834,319.294,404.025,331.48
1.29098,243.809,336.717,329.341
1.39857,493.363,515.91,370.51
1.50615,1168.177,865.059,383.005
1.61373,2394.359,1064.654,373.257
1.72131,3127.301,1088.208,374.057
1.82889,2449.167,918.5,409.333
1.93648,1248.783,639.895,438.822
2.04406,419.116,440.799,444.083
2.15164,146.328,361.108,431.652
2.25922,126.229,333.647,417.273
2.3668,185.765,317.742,395.588
2.47439,245.23,311.76,372.426
2.58197,256.817,313.229,355.817
2.68955,252.176,307.152,369.348
2.79713,259.196,303.211,392.608
2.90471,268.294,317.523,389.806
3.0123,299.366,369.075,371.926
3.11988,335.034,403.456,349.475
3.22746,277.641,403.547,325.24
3.33504,214.18,341.126,309.82
3.44262,243.618,303.299,334.775
3.55021,321.974,310.778,348.748
3.65779,329.444,343.167,374.917
3.76537,335.828,351.824,442.201
3.87295,284.645,343.25,425.319
3.98053,239.044,335.972,387.008
4.08812,257.093,334.828,382.475
4.1957,262.431,316.356,391.159
4.30328,234.593,329.495,377.436
4.41086,215.074,359.98,374.593
4.51844,220.546,358.812,377.065
4.62603,265.815,361.242,412.4
4.73361,318.623,378.922,446.525
4.84119,295.392,359.528,398.531
4.94877,249.933,335.141,381.889
5.05635,264.255,277.265,347.103
5.16394,265.059,260.779,361.696
5.27152,210.454,307.853,376.706
5.3791,245.554,338.353,339.789
5.48668,293.167,315.528,345.389
5.59426,310.155,288.68,361.935
5.70185,315.353,274.525,384.799
5.80943,329.475,281.341,399.167
5.91701,318.075,339.791,420.928
6.02459,266.534,362.574,426.142
6.13217,241.789,360.438,435.629
6.23976,263.799,342.222,450.873
6.34734,278.975,302.049,428.328
6.45492,237.513,282.106,380.954
6.5625,206.895,285.072,345.011
6.67008,222.956,276.995,332.946
6.77767,219.495,260.487,357.712
6.88525,234.629,262.497,367.649
6.99283,288.029,295.975,393.725
7.10041,288.186,325.397,360.039
7.20799,287.784,296.693,350.448
7.31558,294.75,251.333,322.75
7.42316,320.935,237.072,318.366
7.53074,339.712,260.242,369.328
7.63832,298.814,278.093,401.51
7.7459,282.106,297.574,416.698
7.85349,287.077,297.781,408.49
7.96107,240.966,283.755,386.294
8.06865,211.691,278.27,352.649
8.17623,225.616,293.752,339.154
8.28381,239.387,333.75,337.961
8.3914,240.781,368.212,339.248
8.49898,206.074,352.732,354.725
8.60656,193.373,327.966,353.971
8.71414,187.304,287.178,345.868
8.82172,156.631,286.884,342.817
8.92931,180.422,270.554,341.706
9.03689,216.66,248.072,358.712
9.14447,199.472,264.278,387.778
