plate,Well,Well Position,Omit,sample.name,type,donor,condition,hpi,Target Name,Task,Reporter,Quencher,CT,log copies(5 ul rna),n copies in 600 ul mucus,copies.mm.2
1,49,E1,FALSE,d3old_01,inv,3,pre,-1,N1 Multiplex,UNKNOWN,FAM,None,Undetermined,#VALUE!,#VALUE!,0
1,50,E2,FALSE,d3old_01,inv,3,pre,-1,N1 Multiplex,UNKNOWN,FAM,None,Undetermined,#VALUE!,#VALUE!,0
1,51,E3,FALSE,d3old_02,inv,3,pre,-1,N1 Multiplex,UNKNOWN,FAM,None,37.315,0.473123458,1.78E+02,5.40E+00
1,52,E4,FALSE,d3old_02,inv,3,pre,-1,N1 Multiplex,UNKNOWN,FAM,None,Undetermined,#VALUE!,#VALUE!,0
1,53,E5,FALSE,d3old_03,inv,3,pre,-1,N1 Multiplex,UNKNOWN,FAM,None,Undetermined,#VALUE!,#VALUE!,0
1,54,E6,FALSE,d3old_03,inv,3,pre,-1,N1 Multiplex,UNKNOWN,FAM,None,Undetermined,#VALUE!,#VALUE!,0
1,55,E7,FALSE,d3old_04,inv,3,pre,-1,N1 Multiplex,UNKNOWN,FAM,None,Undetermined,#VALUE!,#VALUE!,0
1,56,E8,FALSE,d3old_04,inv,3,pre,-1,N1 Multiplex,UNKNOWN,FAM,None,Undetermined,#VALUE!,#VALUE!,0
1,57,E9,FALSE,d3old_05,inv,3,pre,-1,N1 Multiplex,UNKNOWN,FAM,None,Undetermined,#VALUE!,#VALUE!,0
1,58,E10,FALSE,d3old_05,inv,3,pre,-1,N1 Multiplex,UNKNOWN,FAM,None,Undetermined,#VALUE!,#VALUE!,0
2,49,E1,FALSE,d3old_06,inv,3,pre,-1,N1 Multiplex,UNKNOWN,FAM,None,Undetermined,#VALUE!,#VALUE!,0
2,50,E2,FALSE,d3old_06,inv,3,pre,-1,N1 Multiplex,UNKNOWN,FAM,None,Undetermined,#VALUE!,#VALUE!,0
2,51,E3,FALSE,d3old_07,inv,3,pre,-1,N1 Multiplex,UNKNOWN,FAM,None,Undetermined,#VALUE!,#VALUE!,0
2,52,E4,FALSE,d3old_07,inv,3,pre,-1,N1 Multiplex,UNKNOWN,FAM,None,Undetermined,#VALUE!,#VALUE!,0
2,53,E5,FALSE,d3old_08,inv,3,pre,-1,N1 Multiplex,UNKNOWN,FAM,None,Undetermined,#VALUE!,#VALUE!,0
2,54,E6,FALSE,d3old_08,inv,3,pre,-1,N1 Multiplex,UNKNOWN,FAM,None,Undetermined,#VALUE!,#VALUE!,0
2,55,E7,FALSE,d3old_09,inv,3,pre,-1,N1 Multiplex,UNKNOWN,FAM,None,Undetermined,#VALUE!,#VALUE!,0
2,56,E8,FALSE,d3old_09,inv,3,pre,-1,N1 Multiplex,UNKNOWN,FAM,None,Undetermined,#VALUE!,#VALUE!,0
1,86,H2,FALSE,d3old_0hpi_01,inv,3,infected,1,N1 Multiplex,UNKNOWN,FAM,None,28.543,3.113224583,7.79E+04,2.36E+03
1,85,H1,FALSE,d3old_0hpi_01,inv,3,infected,1,N1 Multiplex,UNKNOWN,FAM,None,28.526,3.118341058,7.88E+04,2.39E+03
1,88,H4,FALSE,d3old_0hpi_02,inv,3,infected,1,N1 Multiplex,UNKNOWN,FAM,None,27.801,3.336543671,1.30E+05,3.95E+03
1,87,H3,FALSE,d3old_0hpi_02,inv,3,infected,1,N1 Multiplex,UNKNOWN,FAM,None,27.715,3.362427015,1.38E+05,4.19E+03
1,77,G5,FALSE,d3old_0hpi_03,inv,3,infected,1,N1 Multiplex,UNKNOWN,FAM,None,28.765,3.046409438,6.68E+04,2.02E+03
1,78,G6,FALSE,d3old_0hpi_03,inv,3,infected,1,N1 Multiplex,UNKNOWN,FAM,None,28.676,3.07319569,7.10E+04,2.15E+03
1,91,H7,FALSE,d3old_0hpi_04,inv,3,infected,1,N1 Multiplex,UNKNOWN,FAM,None,27.379,3.463552639,1.74E+05,5.29E+03
1,92,H8,FALSE,d3old_0hpi_04,inv,3,infected,1,N1 Multiplex,UNKNOWN,FAM,None,27.367,3.467164269,1.76E+05,5.33E+03
1,93,H9,FALSE,d3old_0hpi_05,inv,3,infected,1,N1 Multiplex,UNKNOWN,FAM,None,28.227,3.208330825,9.69E+04,2.94E+03
1,94,H10,FALSE,d3old_0hpi_05,inv,3,infected,1,N1 Multiplex,UNKNOWN,FAM,None,28.084,3.251369409,1.07E+05,3.24E+03
2,85,H1,FALSE,d3old_0hpi_06,inv,3,infected,1,N1 Multiplex,UNKNOWN,FAM,None,27.482,3.43255282,1.62E+05,4.92E+03
2,86,H2,FALSE,d3old_0hpi_06,inv,3,infected,1,N1 Multiplex,UNKNOWN,FAM,None,27.352,3.471678806,1.78E+05,5.39E+03
2,90,H6,FALSE,d3old_0hpi_08,inv,3,infected,1,N1 Multiplex,UNKNOWN,FAM,None,28.565,3.106603263,7.67E+04,2.32E+03
2,89,H5,FALSE,d3old_0hpi_08,inv,3,infected,1,N1 Multiplex,UNKNOWN,FAM,None,28.536,3.115331367,7.82E+04,2.37E+03
2,92,H8,FALSE,d3old_0hpi_09,inv,3,infected,1,N1 Multiplex,UNKNOWN,FAM,None,29.302,2.884789021,4.60E+04,1.39E+03
2,91,H7,FALSE,d3old_0hpi_09,inv,3,infected,1,N1 Multiplex,UNKNOWN,FAM,None,29.269,2.894721002,4.71E+04,1.43E+03
2,94,H10,FALSE,d3old_0hpi_10,inv,3,infected,1,N1 Multiplex,UNKNOWN,FAM,None,26.863,3.618852706,2.49E+05,7.56E+03
2,93,H9,FALSE,d3old_0hpi_10,inv,3,infected,1,N1 Multiplex,UNKNOWN,FAM,None,26.832,3.628182748,2.55E+05,7.72E+03
3,86,H2,FALSE,d3old_0hpi_11,inv,3,infected,1,N1 Multiplex,UNKNOWN,FAM,None,28.473,3.134292422,8.17E+04,2.48E+03
3,85,H1,FALSE,d3old_0hpi_11,inv,3,infected,1,N1 Multiplex,UNKNOWN,FAM,None,28.413,3.152350569,8.52E+04,2.58E+03
3,87,H3,FALSE,d3old_0hpi_12,inv,3,infected,1,N1 Multiplex,UNKNOWN,FAM,None,27.442,3.444591585,1.67E+05,5.06E+03
3,88,H4,FALSE,d3old_0hpi_12,inv,3,infected,1,N1 Multiplex,UNKNOWN,FAM,None,27.406,3.455426473,1.71E+05,5.19E+03
2,87,H3,FALSE,d3old_0hpi_7,inv,3,infected,1,N1 Multiplex,UNKNOWN,FAM,None,28.552,3.110515861,7.74E+04,2.35E+03
2,88,H4,FALSE,d3old_0hpi_7,inv,3,infected,1,N1 Multiplex,UNKNOWN,FAM,None,28.531,3.116836213,7.85E+04,2.38E+03
2,57,E9,FALSE,d3old_10,inv,3,infected,0,N1 Multiplex,UNKNOWN,FAM,None,Undetermined,#VALUE!,#VALUE!,0
2,58,E10,FALSE,d3old_10,inv,3,infected,0,N1 Multiplex,UNKNOWN,FAM,None,Undetermined,#VALUE!,#VALUE!,0
3,49,E1,FALSE,d3old_11,inv,3,infected,0,N1 Multiplex,UNKNOWN,FAM,None,Undetermined,#VALUE!,#VALUE!,0
3,50,E2,FALSE,d3old_11,inv,3,infected,0,N1 Multiplex,UNKNOWN,FAM,None,Undetermined,#VALUE!,#VALUE!,0
3,52,E4,FALSE,d3old_12,inv,3,infected,0,N1 Multiplex,UNKNOWN,FAM,None,29.637,2.783964365,3.65E+04,1.11E+03
3,51,E3,FALSE,d3old_12,inv,3,infected,0,N1 Multiplex,UNKNOWN,FAM,None,Undetermined,#VALUE!,#VALUE!,0
3,5,A5,FALSE,d3old_120hpi_01,inv,3,infected,120,N1 Multiplex,UNKNOWN,FAM,None,11.963,8.103292602,7.61E+09,2.31E+08
3,6,A6,FALSE,d3old_120hpi_01,inv,3,infected,120,N1 Multiplex,UNKNOWN,FAM,None,11.957,8.105098417,7.64E+09,2.32E+08
3,18,B6,FALSE,d3old_120hpi_02,inv,3,infected,120,N1 Multiplex,UNKNOWN,FAM,None,12.391,7.974477819,5.66E+09,1.71E+08
3,17,B5,FALSE,d3old_120hpi_02,inv,3,infected,120,N1 Multiplex,UNKNOWN,FAM,None,12.203,8.031060013,6.44E+09,1.95E+08
3,30,C6,FALSE,d3old_120hpi_03,inv,3,infected,120,N1 Multiplex,UNKNOWN,FAM,None,12.483,7.946788659,5.31E+09,1.61E+08
3,29,C5,FALSE,d3old_120hpi_03,inv,3,infected,120,N1 Multiplex,UNKNOWN,FAM,None,12.449,7.95702161,5.43E+09,1.65E+08
3,42,D6,FALSE,d3old_120hpi_04,inv,3,infected,72,N1 Multiplex,UNKNOWN,FAM,None,13.785,7.554926865,2.15E+09,6.52E+07
3,41,D5,FALSE,d3old_120hpi_04,inv,3,infected,72,N1 Multiplex,UNKNOWN,FAM,None,13.595,7.612110997,2.46E+09,7.44E+07
3,54,E6,FALSE,d3old_120hpi_05,inv,3,infected,72,N1 Multiplex,UNKNOWN,FAM,None,13.572,7.619033287,2.50E+09,7.56E+07
3,53,E5,FALSE,d3old_120hpi_05,inv,3,infected,72,N1 Multiplex,UNKNOWN,FAM,None,13.537,7.629567206,2.56E+09,7.75E+07
3,66,F6,FALSE,d3old_120hpi_06,inv,3,infected,72,N1 Multiplex,UNKNOWN,FAM,None,14.561,7.321374827,1.26E+09,3.81E+07
3,65,F5,FALSE,d3old_120hpi_06,inv,3,infected,72,N1 Multiplex,UNKNOWN,FAM,None,14.31,7.396918076,1.50E+09,4.53E+07
3,77,G5,FALSE,d3old_120hpi_07,inv,3,infected,48,N1 Multiplex,UNKNOWN,FAM,None,19.403,5.864082345,4.39E+07,1.33E+06
3,78,G6,FALSE,d3old_120hpi_07,inv,3,infected,48,N1 Multiplex,UNKNOWN,FAM,None,19.354,5.878829832,4.54E+07,1.38E+06
3,90,H6,FALSE,d3old_120hpi_08,inv,3,infected,48,N1 Multiplex,UNKNOWN,FAM,None,19.529,5.826160236,4.02E+07,1.22E+06
3,89,H5,FALSE,d3old_120hpi_08,inv,3,infected,48,N1 Multiplex,UNKNOWN,FAM,None,19.421,5.858664901,4.33E+07,1.31E+06
3,8,A8,FALSE,d3old_120hpi_09,inv,3,infected,48,N1 Multiplex,UNKNOWN,FAM,None,18.21,6.223138506,1.00E+08,3.04E+06
3,7,A7,FALSE,d3old_120hpi_09,inv,3,infected,48,N1 Multiplex,UNKNOWN,FAM,None,18.011,6.283031361,1.15E+08,3.49E+06
3,20,B8,FALSE,d3old_120hpi_10,inv,3,infected,24,N1 Multiplex,UNKNOWN,FAM,None,26.232,3.808764221,3.86E+05,1.17E+04
3,19,B7,FALSE,d3old_120hpi_10,inv,3,infected,24,N1 Multiplex,UNKNOWN,FAM,None,25.964,3.889423945,4.65E+05,1.41E+04
3,32,C8,FALSE,d3old_120hpi_11,inv,3,infected,24,N1 Multiplex,UNKNOWN,FAM,None,29.074,2.95340998,5.39E+04,1.63E+03
3,31,C7,FALSE,d3old_120hpi_11,inv,3,infected,24,N1 Multiplex,UNKNOWN,FAM,None,28.822,3.029254199,6.42E+04,1.94E+03
3,43,D7,FALSE,d3old_120hpi_12,inv,3,infected,24,N1 Multiplex,UNKNOWN,FAM,None,26.843,3.624872088,2.53E+05,7.66E+03
3,44,D8,FALSE,d3old_120hpi_12,inv,3,infected,24,N1 Multiplex,UNKNOWN,FAM,None,26.238,3.806958406,3.85E+05,1.17E+04
,,,,Sample 72,inv,2,mock,-1,,,,,Undetermined,#VALUE!,#VALUE!,#VALUE!
,,,,Sample 72,inv,2,mock,-1,,,,,Undetermined,#VALUE!,#VALUE!,#VALUE!
,,,,Sample 73,inv,3,mock,-1,,,,,Undetermined,#VALUE!,#VALUE!,#VALUE!
,,,,Sample 73,inv,3,mock,-1,,,,,Undetermined,#VALUE!,#VALUE!,#VALUE!
,,,,Sample 74,inv,4,mock,-1,,,,,Undetermined,#VALUE!,#VALUE!,#VALUE!
,,,,Sample 74,inv,4,mock,-1,,,,,Undetermined,#VALUE!,#VALUE!,#VALUE!
