experiment,sample.no,donor,ko,n.mm.2a,n.mm.2b,n.mm.2mean
ciliako44,1,3,nt-3,116852774.6,121560532.8,1.19E+08
ciliako44,2,3,cypa-2,74726374.44,68713022.48,7.17E+07
ciliako44,3,7,dnah5-1,18213976.93,17894432.3,1.81E+07
ciliako44,4,7,dnai1-2,40093182.64,43168759.53,4.16E+07
ciliako44,5,7,cypa-2,171896529.8,212491743.4,1.92E+08
ciliako44,6,7,nt-3,330186621.1,295224692.5,3.13E+08
ciliako44,7,7,nt-3,222518968.9,230941176.4,2.27E+08
ciliako44,8,7,cypa-2,204704890.6,1597394.234,1.03E+08
ciliako44,9,7,dnai1-2,49734836.64,46527320.64,4.81E+07
ciliako44,10,7,dnah5-1,14338188.75,13685463.08,1.40E+07
ciliako44,11,5,dnah5-1,75556103.15,68687096.76,7.21E+07
ciliako44,12,5,dnai1-2,130518925.9,122019655.4,1.26E+08
ciliako44,13,5,cypa-2,286862778.7,263953729.8,2.75E+08
ciliako44,14,5,nt-3,80321665.88,79140121.29,7.97E+07
ciliako44,15,5,nt-3,169356934.9,185428350.5,1.77E+08
ciliako44,16,5,cypa-2,177025008.1,163664299.1,1.70E+08
ciliako44,17,5,dnai1-2,179398963.5,163102153.4,1.71E+08
ciliako44,18,5,dnah5-1,88508648.45,96142370.89,9.23E+07
ciliako44,19,3,dnah5-1,68408435.78,65234111.17,6.68E+07
ciliako44,20,3,dnai1-2,156335587.7,164611754.8,1.60E+08
ciliako3,1,2,nt-3,24388138.66,24165920.27,2.43E+07
ciliako3,2,2,nt-3,243827619.4,261846829.4,2.53E+08
ciliako3,3,2,dnah5-1,50459955.55,51234436.48,5.08E+07
ciliako3,4,2,dnah5-1,60725382.56,57930653.26,5.93E+07
ciliako3,5,3,cypa-2,66531230.6,70372690.28,6.85E+07
ciliako3,6,3,cypa-2,137270994.9,136815507.2,1.37E+08
ciliako3,7,3,nt-3,37487480.24,37152729.53,3.73E+07
ciliako3,8,3,nt-3,67704524.91,70150401.02,6.89E+07
ciliako3,9,3,dnah5-1,11684309.19,13446779.32,1.26E+07
ciliako3,10,3,dnah5-1,44338347.71,44123782,4.42E+07
ciliako3,11,3,dnai1-2,30886590.54,29638999.15,3.03E+07
ciliako3,12,3,dnai1-2,91434419.09,84608378.23,8.80E+07
ciliako2,1,3,cypa-2,1.07E+08,1.13E+08,1.10E+08
ciliako2,3,3,dnah5-1,6.78E+07,7.32E+07,7.05E+07
ciliako2,5,3,dnai1-2,3.22E+07,3.75E+07,3.49E+07
,,,,,,
,,,,,,
